-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
abismo,"Profundegaĵo: mallumo estis super la o MT Genezo 1:2 ; neforgesebla alterno de belegaj pejzaĝoj alpaj: krutaj rokmuroj, ombraj oj, idiliaj paŝtejoj Evgeni Georgiev 900 km tra montbicikla paradizo Monato 2000/12, p. 20 ; FIG ŝiaj pupiloj, nigraj kaj profundaj kiel o, brulis kiel vulkanoj Marta ; FIG ŝi falis en senfundan on de malespero Fab4 Infano en la tombo ."
abisma,"Rilata al o: en la a mallumo, vido estus malĉefa kaj tuŝsenso […] estus ĉefa Jean-Marc Lévy-Leblond Ĉu scienco estas universala? Le Monde diplomatique en Esperanto ; FIG aj fundoj kun silente kaj kaŝite embuskantaj rampaĵoj de minacaj tentoj Marta ."
enabismigi,"Puŝi, malaperigi en on: [ili] ekvidis centon da homoj sur la ferdeko de la ŝipo, kiu subakviĝis, ili ĉiuj […] aŭdigis terurajn kriadojn: dum unu momento ĉio estis enigata Kandid Ĉapitro XX ; Fernando […] mortis enigita en la profundegaĵoj de l’ glaciejo ChL Ĉapitro Naŭa ; FIG dum longa tempo ankoraŭ la junulino sin enigis en siajn pensojn ChL Ĉapitro Sesa ."
enabismiĝi,"Malaperi en on: ŝi deziris, ke la pargeto eniĝu sub ŝiaj piedoj, por ke ŝi estu kaŝita for de ĉiuj rigardoj. ChL ; ŝi eniĝis en ĝemo kaj agonio Juna Violo (12), el Rakontaro Genĝi ; Lizio eksilentis, kaj mi eniĝis en profundan meditadon Nia Hejmo ."
abituriento,"Mezgrada diplomito, kiu finis la gimnazian kursaron, sukcese plenuminte la koncernan ekzamenon: havi sian an diplomon; ankoraŭ du jarojn, kaj mi estos o kaj povos ekstudi FSI I ; fariĝinte o, tial ke miaj gepatroj al mi rifuzis la plej modestan renton, mi estis devigita forlasi la daŭrigon de miaj studadoj H. Vallienne Ĉu li? 1908 ; la kulturarto estas tro forlasita de instruitoj, respondis la juna o, kaj mi volus utiligi miajn konojn en ĥemio, en fiziko, en natura historio KPr Ĉapitro Tria ; la patro de ino plendis al la koncernita instanco, ke dum ŝtata finekzameno de la angla lingvo la oj de Litovio ricevis la taskon priskribi la tagon de ĉiuj sanktuloj kaj kristnaskan vesperon Monato Laimius Stražnickas Kredo kaj angla lingvo 2007 ."
abiturienteco,"Rango, stato de o: ŝi sepjara eniris la Vienan muzikaltlernejon por esti submetita al troa muzika trejnado; akirinte la econ, ŝi suferis nervan deprimon B. Pätzold, trad. P. Beaudonnet La viena skandalulino rekompencita Le Monde diplomatique, 2004-12 ."
abiturientiĝi,"Ricevi la rangon de o: la majstra aŭtodidakto Cherpillod […], iĝinte nur en la aĝo de 32 jaroj, kun siaj vastaj interesoj apartenas al la plej fruktodonaj Esperanto-verkantoj A. Künzli Cherpillod la franco Esperanto 2009/1 ."
abiturienta ekzameno,"Mezgrada ekzameno fine de la gimnazia kursaro: la fratoj […] sin prezentis al la aj ekzamenoj KPr Ĉapitro Tria ; la patrino de la juna Vladimir nur malfacile vivtenis sin kaj sian filon, sed tamen li povis frekventi gimnazion en Praha, kiun li finis per a ekzameno SkandalJozef Pri la aŭtoro ; en Aŭstrio post kvarjara elementa lernejo kaj okjara gimnazio la gelernantoj povas fari an ekzamenon Monato Walter Klag Ekzameno ekzamenata 2014 ; ne ekzistas a ekzameno en Usono LOdE 2003, № 10 (108) ."
abĵuri,"Forkonfesi, malagnoski: i la paganajn diojn Viki Toro (mitologio) ; okaze de bapto la bapto-petanto as satanon B. Eichkorn, Kristana Glosaro, [vidita en 2014] ."
ablacio,Forigo de materialo.
ablacia aĝo Astronomia Terminaro,Tempodaŭro ekde la fandiĝo de la vitra surfaco de aerŝtono pro ĝia enirado tra la atmosfero.
ablativo,"Kazo de deklinacio en hindeŭropaj lingvoj, esprimanta propre la deirpunkton: o absoluta estas speciala formo, uzata nur en kelkaj malmultaj lingvoj: en Esperanto ĝi ne ekzistasLR."
abnegacio,"Volonta forgeso pri sia propra utilo aŭ bonstato: Gandhi [...] fondis du bienojn por provi kaj praktiki siajn idealojn pri sendependeco, sinregado, o kaj digno pro laboro A. Giridhar Rao: La formiĝo de Mahatmo, Monatojaro 1997a, numero 7a, p. 26a."
