-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
ennovaĵo,"Nove enkondukita afero: la transportado de l’ akcento de unu silabo sur alian ne estas eĉ ia enaĵo de nia flanko, sed ĝi ekzistas jam en la lingvoj naturaj LR Dua Parto – Gramatiko ; legantoj devas kutimigi sin al la lingvaj kaj tipografiaj enaĵoj de la aŭtoro Distranĉi gordiajn nodojn Garbhan MacAoidh ."
"malnova F, Universala Vortaro, -aĵ'","Jam de longe ekzistanta aŭ konata: mala kutimo; unu amiko mala pli valoras ol du aj PrV ; ĉiuj aliaj ekkantis strofon el mala kanto pri cikonioj Fab1 Cikonioj ; tiu ĉi reciproka ĝentileco estis ĉe la ambaŭ familioj mala moro, ĉar ili ĉiuj estis tre amikaj inter si kaj vivis en agrabla senceremonieco BdV ."
"malnovaĵo F, Universala Vortaro, -aĵ'","Io jam de longe ekzistanta aŭ konata: la bazaro de malaĵoj Revizoro Akto dua ; diversaj malaĵoj staris kaj kuŝis tie, bretaroj plenaj je foliujoj kaj dokumentoj delonge ne plu bezonataj, stakitaj lernbenkoj kun inkmakulitaj surfacoj, stativo, ĉe kiu pendis deko da maliĝintaj mapoj, pluraj tabuloj de kiuj falis la nigra farbo, rustintaj feraj fornoj, ne plu uzeblaj gimnastikiloj […] Michael Ende, trad. Wolfram Diestel La Senĉesa Rakonto La Senĉesa Rakonto ."
malnoveca,"Havanta malajn ecojn; malspeca malmoderna, arĥaika: kiu do bezonus tiaĵon en la epoko de GPS-navigiloj […], okulfrape malecan urbomapon de Luksemburgo Monato István Ertl Perspektivoj el rubujo 2011 ; [li] konsideras aventureca kaj maleca la nunan ekziston de universitato en Tetovo, kies rektoro […] baraktas por sia ekzistado Monato Roland Rotsaert Kosovo: Vojaĝimpresoj, somero 2000 ."
renovigi,"Fari ree (eĉ se alimaniere) a, ŝanĝante malan ekzempleron, malajn partojn: reigi kutimon; Vi reigas la vizaĝon de la tero MT 104:30; la junaj knabinoj iris al la tablo de Dio, reigis sian baptan interligon Fab3 Plej bela rozo de la mondo ; ho, ve al ni, reigita flugas nun la danĝero ĉirkaŭ niaj kapoj Ifigenio ; en decembro 1999 okazis solena inaŭguro de la reigita katedralo, kun granda religia festo kaj koncertoj Josette Ducloyer Quimper Monato 2000/05, p. 16 ; ĉu vi jam reigis vian abonon por 2001 Monato S. Maul ?"
renoviĝi,"Reesti, refariĝi a aŭ simila al a ‐ tia freŝa aŭ abunda aŭ bonkvalita ktp, kia estas io nova: via juneco reiĝas kiel ĉe aglo MT, 103:5; reiĝantaj energifontoj J. Werner, Nuklea energio: ne fidu la respondeculojn>, Monato, 2002/10, p. 19."
trompnovaĵo,"Intence malĝusta informo, erariga aĵo: la multiĝo de la trompaĵoj ilustras la invadon de la publika spaco per mensogoj A.-C. Robert, trad. V. Lutermano Malapero de la debatospaco Le Monde diplomatique, 2021-04-01 ."
falsa novaĵo,"Malĝusta, erariga informo pri aĵo: falsaj aĵoj estas pli kaj pli popularaj inter interretuloj komika Falsaj novaĵoj, malĝustaj informoj, la manlibro, kiu senvivigas la veremulojn 2021-04-28 ."
novao,"Stelo abrupte aperanta, brilega dum kelkaj tagoj kaj poste malheliĝanta: masegaj steloj kaj oj Helio J. Rocha-Pinto, La Kemia Evoluado de la Galaksio, Virtuala Biblioteko de AEKo, 2000-01-21 ."
supernovao,"Stelo, kiu eksplodante brilegas eĉ pli forte ol o, kaj poste finofare kolapsas: la fama nebulozo en la konstelacio Krabo estis kreita en la supero spektita de la ĉinoj en la jaro 1054 Amri Wandel, La moderna astrofiziko, Virtuala Biblioteko de AEKo, [vidita je 2006-01-24] ."
novalo,"Kampo lasata en ripozo, sen kultivo, sed eventuale plugata por faciligi malkomponiĝon de vegetaĵoj kaj regrasiĝo: paŝtistoj sur oj kun mirego rigardis la sovaĝajn rajdantojn A. Jirásek, trad. J. Vondroušek, Malnovaj mitoj ĉeĥaj, 1984 ; ili ekstermas arbarojn, faras agrojn el herbejoj aŭ oj, por havi sufiĉe da terenoj por produktado de etanolo Monato Stefan Maul Ekologio paradokse 2011 ."
novaligi,"Lasi iam kultivitan terpecon ripozi, sen ekspluato: avantaĝo de la igo estas, ke igita kampo konservas pli da akvo en sia grundo ol surkreskita kampo W. F. Rolt, El la Polvo de la Tero, 1967 ."
novelo,"Mallonga beletra rakonto, ĝenerale ne pli ol 50-paĝa, kun malmultaj rolantoj: Estas oj tute fantaziaj, estas aliaj duoninspiritaj de faktoj; la ĉi suba priskribas sole faktojnArmando Zecchin: La kokino de nia najbarino, Monatojaro 1999a, numero 3a, p. 27a."
noveli,"Verki ojn: Piron produktas abunde, li prelegas, li asCarlo Minnaja: Meritanta ne nur reeldonon (Johán Valano, Malmalice), Monatojaro 2001a, numero 7a, p. 28a."
novelaro,"Kolekto de ordinare samaŭtoraj, samepokaj aŭ samtemaj oj: Dekamerono de Giovanni Boccaccio estas eble la plej konata aro de la monda literaturoSten Johansson: Tri tagoj da ĝuo (Giovanni Boccaccio, Dekamerono, unuaj tri tagoj), Monatojaro 1996a, numero 12a, p. 18a."
noveleto,"Konciza o, ofte celanta surprizon de la leganto aŭ komikon: la plej bonaj el tiuj etoj estas tre ĉarmaj kaj amuzajSten Johansson: Satira, humure serioza, amara, ridiga (Tóth-Máthé Miklos, Trans la seĝo), Monatojaro 1998a, numero 1a, p. 19a."
novelisto,Verkisto de mallongaj rakontoj.
"Novembro, Novembro","Dek-unua monato de la jaro laŭ la Gregoria kalendaro, inter Oktobro kaj Decembro: Januaro estas la unua monato de la jaro, […] o estas la dek-unua F 12 ; la dek du monatoj de l' kristana jaro estas: Januaro, Februaro, […] Oktobro, o, Decembro DL ; la dekan de o de la jaro 1759 Dio donacis al ni filon Fab4 Malnova preĝeja sonorilo ; la melonoj kaj tritiko, semitaj en o, jam estis maturiĝantaj Far1 Ĉapitro XXIV ; la unuan de o, ĉe la tago de ĉiuj sanktuloj, freŝe rostitaj kaŝtanoj odoras ĝis la aleo de mortintojSpomenka Ŝtimec: Hejmo en Mezeŭropo, Monatojaro 1996a, numero 1a, p. 20a."
Novembra,"Okazanta en o, rilata al o: estis griza, pluva, kota a tago Marta ; en la aj tagoj post la malvenko de la revolucio Monato Jozefo Horváth Tra infanaj okuloj: memoroj pri la eventoj de '56 ; tre ofte la artikoloj estas plorige stultaj, sed la a numero montris la pinton de malbona gusto Barbara Kowalska Ridindig(n)e ridinda (2) Monato 2000/12, p. 4 ."
Novgorodo,"Malnova urbo en nord-okcidenta Ruslando, en la 9 — 12-a jarcentoj la unua ĉefurbo kaj poste unu el la plej gravaj centroj de la Kieva regno: Jaroslavo la Saĝa […] trifoje estis Granda Princo de Novgorodo kaj Kievo portempe kunigante ambaŭ princlandojn Viki Jaroslavo la Saĝa ; ili (la novgorodanoj) forpelis la varengojn trans la maron, sen doni al ili tributon, kaj komencis meme sin regi La komenca kroniko, LOdE, Citite laŭ S. Pokrovskij: Ruriko kaj liaj fratoj, n-ro 221, 2013:3 ."
Novialo,"Lingvo internacia, publikigita de la dano Otto Jespersen en 1928: praktikaj informoj pri la uzado de Esperanto pli utilos ol la diferenco inter Volapuko, Ido kaj o Z. van Dijk, Informado praktike, 2007 ; ŝajnas esti o B. Wennergren, Re: Fundamentalismo en Esperantujo, soc.culture.esperanto, 1999-04-29 ."
novico,"Monaĥiĝonto, viro pasiganta provtempon en monaĥejo antaŭ definitive monaĥiĝi: episkopo do devas esti neriproĉebla, edzo de unu edzino, sobra, moderema, ordema, gastama, instruema, […] ne o, por ke li ne ŝvelu per fiereco kaj ne falu en la kondamnon de la diablo NT I. Timoteo 3:6 ; Karolo Piĉ […] fariĝis por kelkaj monatoj eĉ o ĉe dominikanoj, sed baldaŭ revenis hejmen Karolo Piĉ kaj liaj mondoj Informilo-2 de la 14a Internacia Esperanto-konferenco, en Strážnice, 2001-07-16 ."
novica,"Sensperta, komencanta en la koncerna afero; ne veterana: servistineto a G. Eekhoud, trad. Amatus, La Servistineto, Belga Esperantisto, 1910-02, p. 24a ."
novicino,Virino pasiganta provtempon en monaĥinejo antaŭ definitive monaĥiniĝi: ino en la samariana ordeno Dio Benu 61-1/2006 - IKUE .
Novosibirsko,"La plej granda urbo de Siberio, kaj la tria plej granda urbo de Ruslando (55˚04'N, 82˚93'E): la ekskursantoj vizitos on, la faman Akademian urbeton, muzeon de Suno kaj unikan infanan kinostudion Al EoLA-15 invitas REU, REJM kaj la Novosibirska E-klubo ; mi loĝas en o, en la centro de la kontinento, mezvoje inter Moskvo kaj Pekino: 2810 km de Moskvo; 2975 km ĝis Pekino S. Pokrovskij, La granda stepo. LOdE, 2003, num. 2 (100). ; en la areo, observata per la sputniko, troviĝas spaco de o ĝis Madrido Fiero de la universitato ."
nu,"Interjekcio servanta por kuraĝigi aŭ atentigi pri io sekvanta: , iru rapide; , aŭskultu la finon kuunteles nyt loppuun; , ĉu vi estas preta?"
Nuakŝoto,"La ĉefurbo de Maŭritanio: situo: (18˚06N 15˚57W): o estas dua la plej granda sahara urbo (post Kairo) Viki Nuakŝoto ; Sud-Afriko, Sieraleono, Namibio, Lesoto kaj Burundo subskribis la interkonsenton pri liberkomerca regiono en o Fokusoj de la Semajno (Jul. 06) ; dek-naŭ-jara fiŝisto mortpafita en januaro 2018 […] revigligis la streĉitecon inter Dakaro kaj o Zoé Lamazou Guantanamo en Mauritanio Le Monde diplomatique' en Esperanto ."
nuanco,Delikata apenaŭ sentebla diferenco inter gradoj kaj kombinoj de iu koloro: kurtenoj havant[aj] koloron de delikate flava o Metrop .
nuanci,"Meti ojn en ion, delikate gradigi: sur la ĉielo la vesperruĝo komencis […] i, kiel opalo QuV Ĉapitro II ; oni venigis laboristojn el ekstere, ĉefe siciliajn kaj albanajn, kiuj is la urbon per sia speciala, propra etoso ChB 1 ; eta parentezo por i la lastajn alineojn Kon11 Ĉefartikolo ; kiam brito metas krucon sur balotilon […], ne eblas i la preferojn Monato W. H. Simcock Iom da proporcio 2005 ."
nubo,"Amasiĝo da malgrandaj akvogutetoj aŭ glacikristaloj kondensiĝintaj kiel aerosolo pro ioma trosatureco de la aero: grizaj oj pelitaj de la vento; matene, komenciĝis tondroj kaj fulmoj, kaj densa o estis super la monto MT Eliro 19:16 ; densaj oj, plenaj de akvo MT II. Samuel 22:12 ; la suno subite sin montris el la oj BdV ; la ena luno BdV ; FIG FRAZ Stella sidis, kiel falinta el oj (tute surprizite) FK ; aro Fab4 Historio el la dunoj FK ."
nuba,"Kovrita, plena de oj: a ĉielo, vetero; tago a kaj malluma MT Jeĥezkel 34:12 ; la vespero estis varma, sed a IK ; Rejno ruliĝas antaŭen kiel unu sola longa ondo, falegas, estas vipata kaj aliformiĝas en neĝblankajn ajn masojn Fab3 Sub la saliko ."
sennuba,"Sen nuboj, serena: mateno sena MT II. Samuel 23:4 ; FIG anonco, okazinta kiel fulmo en sena ĉielo Monato Roberto Pigro Troa zorgemo pri la ĝena geno ."
Nubio,La regiono sude de la unua Nilkatarakto ambaŭflanke de la rivero: en la sudo […] o komencas boli Far3 Ĉapitro II ; la a dezerto estas la orienta regiono de la dezerto Saharo Viki Nubia dezerto .
Nubiano,"Ĉefgentano de o: li ekvidis riĉan portilon, kiun kvar anoj rapide portis al Nilo Far1 Ĉapitro XIII ."
nuda,"Nevestita: ambaŭ estis aj […] kaj ili ne hontis MT Genezo 2:25 ; li iris a kaj pieda MT Jesaja 20:2 ; la filoj havis an kolon kaj skotan kostumon Fab2 Monteto de elfoj ; ili plejparte iris nudkape, nur malmultaj portis ĉapon VaK Dua Ĉapitro ; kiu rabi eliras, ofte a revenas PrV ."
nudigi,"Senvestigi: sur la malgrasa blanka brako, kiun igis la mano de la patrino, vidiĝis nigre-blua makulo Marta ; [ili] igos la dentojn (rikanos) kaj aplaŭdos Revizoro Akto kvina ; igu viajn kapojn, stariĝu genue en la polvon Rabistoj Akto Kvara ! li igas sin ĝiskokse kaj diboĉas en la freŝa akvo LGA I. ."
nudiĝi,"Iĝi a, seniĝi je vestoj, je kovro: ŝi kaj levis iom la randon de la tuko, […] ŝia mano iĝis ĝis la kubuto PatrojFiloj XXIII ; li trinkis el la vino kaj ebriiĝis, kaj iĝis en sia tendo MT Genezo 9:21 ; mi detruos la muron […] tiel, ke iĝos ĝia fundamento MT Jeĥezkel 13:14 ; FIG iĝis la fundamentoj de la universo, de la minaca voĉo de la Eternulo MT II. Samuel 22:16 ; la betuloj flaviĝis kaj iĝis HsT Feliĉa homo ; la ĉiela volbo iĝas (sennubiĝas) A. Kivi, trad. I. Ekström, Sep fratoj, 1947."
nudismo,"Vivmaniero akceptanta econ en ordinaraj cirkonstancoj, eventuale kontraŭ sociaj kutimoj: ĉu vere, ke vi nenion scias pri ismo InfanTorent2 Dua Parto ? ekkuraĝinte mi demandis iun pri ĉi tiu, sed li tute ne sciis, kion signifas ismo, kaj pluiris VaK Sesa Ĉapitro ; en centra Eŭropo dum la vintro mi ne proponas la ismon P. Bowing, - , 2008-11-26 ."
nudisto,"ismano: ni estas naturamikoj kaj istoj InfanTorent2 Dua Parto ; se eblas, ni ne uzas bankostumon, ĉu neniam vi aŭdis pri istoj? ne gapu, ni estas istoj J. Sárközi, Filmo por pli ol 16 jaruloj kaj aliaj noveloj, 1995 !"
nudelo,"Pastaĵo el faruno (kaj evtl. ovo), distranĉita en mallarĝajn rubandojn, kaj eventuale sekigita, por posta bolkuirado: oj, vermiĉeloj [el rizo] Monato S. Maul Laŭ ritmo de la rizejoj ; fine de la jaro oni retrovas la ŝparitan supon en iu statistiko MortulŜip Ĉapitro 18 ; longaj oj simbolas longan vivon Monato Alice Liu Feliĉan naskiĝotagon! 2008 ."
nufaro,"Akvolilio: plej konata specio estas la Flava o, [la] folio de la o estas simbolo por la provinco Frislando Viki Nufaro ."
nugato,"Pasteca frandaĵo el mielo aŭ karamelo, migdaloj, aveloj aŭ pistakoj; migdalmielaĵo: pralino estas frandaĵo kovrita per tavolo da ĉokolado, farĉita per iu dolĉa enhavo, kiel marcipano aŭ o Viki Pralino ; Toblerone […] enhavas ĉokoladon, on, mielon kaj migdalojn Viki Toblerone ; la blanka o de Montélimar estas dolĉaĵo konsistanta el sukero, lavenda mielo, ovoblanko, vanilo, pistakoj kaj migdaloj Viki Nugato de Montélimar ."
nuko,"Malantaŭa parto de kolo: li rompas al si […] la on IdO Kvara Parto ; mi konas vian malobeemecon kaj vian malmolan on MT Readmono 31:27 ; mi metos sur iliajn ojn mian piedon en fera sandalo Far1 Ĉapitro III ; kiu volas konservi la kapon sur la o, tiu obeu la ĉefestron Far1 Ĉapitro VI ; turto […] estos propeka ofero, kaj li tordorompos ĝian kapon ĉe la o MT Levidoj 5:8 ; [ŝi] kuŝis kun la manoj sub la o kaj rigardis en la bluan, profundan ĉielon InfanTorent2 Unua Parto ; FIG simile al sendefenda ŝafo mi klinas mian on (obee submetiĝas) antaŭ nehonesta mano Marta ."
"malmolnuka, rigidnuka","Fiere obstina, kvazaŭ ne klinanta obee la kolon: sed ili kaj niaj patroj fariĝis fieraj kaj malmolaj kaj ne obeis Viajn ordonojn MT 9:16."
nukleo,"La centra parto de protoplasmo, la ĉelkerno, kiu entenas la kromosomojn: oni elprenas la blankajn ĉelojn (leŭkocitojn) kaj analizas la kromosomojn en la oj de tiuj ĉeloj Stevens Norvell: Ĉu ankaŭ genoj responsas pri melanomo?, Monatojaro 1997a, numero 7a, p. 14a ."
nuklea,Rilata al nukleoj.
nukleolo,"Ribosomprodukta organeto ene de la ĉelkerno de eŭkariota ĉelo: en la nukleo troviĝas la o, konsistanta ĉefe el RNA, la t.n. mesaĝista RNA Enkonduko en la Biologion La Strukturo de la Vivaj Organismoj ; [ĉeloj i.a.] maljuniĝas ĉar la o pli kaj pli malstabiliĝas Homoj en Usono pli solecaj ol en Eŭropo Esperanta Retradio, 24-03-23 ."
nukleono,"Barjono, konsistiganta atoman kernon: protono aŭ neŭtrono: oni adicias ĉiujn ojn – do protonojn kaj neŭtronojn – kaj parolas pri la izotopoj oksigeno-16, oksigeno-17 kaj oksigeno-18 Monato Pejno Simono Moderna minaco: radioaktiveco ; la atomkerno de fer-izotopo 56Fe havas la plej fortan ligenergion je o el inter ĉiuj atomkernoj Viki Fero ."
nukleotido,"Iu el la molekuloj, kiuj pare funkcias kiel bazaj eroj de nukleacidoj: ĉiu o konsistas el ... fosfato, sukero, kaj nitrogena bazo Viki, nukleotido, 2010-08-10 ; per ekzamenado de la sinsekvo de oj de DNA, eblas taksi la genetikan distancon inter specioj F. S. Wechsler, Darvinismo kaj la Inteligenta Projekto, [2005] ."
nukleozido,"Organika molekulo konsistanta el purina aŭ pirimidina bazo kaj pentozo: la proteino restas en daŭra ligo kun la aktiva formo de la o, anstataŭ hidrolizi d-ro Krys Ungar Molekula bazo de kanceriĝo, la rolo de onkogenaj produktoj Scienca revuo, vol. 43, 1992/2, p.42 ; adenozino estas nature okazanta purina o (purina molekulo ligita al riboza ringo) estigata per la rompo de la adenozina trifosfato Adenozino - Vikipedio ."
nuklido,"Atomspeco karakterizata per la nombro de protonoj kaj neŭtronoj de ĝiaj kernoj: la diversaj reguloj pri akvokvalito listigas 17 radioakitvajn ojn, kiuj troviĝas en trinkakvo en niveloj de koncentriteco multe pli malaltaj ol ordinaraj mikroelementoj Orlando E. Raola Kemiaj faktoroj en provizado de akvo por satigo de homaj bezonoj IKU, dum 107-a Universala Kongreso de Esperanto, 6 – 13 de aŭgusto 2022, p. 49 ."
nukso,"Fermfrukto kun dika malmola perikarpo enhavanta plej ofte unuopan semgrajnon: sub la avelarbetoj […] la oj pendis en formo de pezaj faskoj Fab3 Historio de la jaro ; frago, rozfrukto [kies] unuopa frukto estas o Viki Plurfrukto ; la foliarbo […] nutris ursojn per abundaj oj kiel glanoj kaj kaŝtanoj Monato Isikawa Takasi Ursoj mortigataj 2014 ."
brazila nukso,"o de brazilarbo entenanta plurajn manĝeblajn semojn, el kiuj oni ankaŭ elpremas oleon: troviĝis priskribo egale ĝusta kaj klara, Brazilaj oj, Plej Bonaj, 4 pencoj por funto. G. K. Chesterton, trad. C. Bean, La Naiveco de Pastro Brown, Esperanto Publishing Co., 1937 ."
"brazilnuksarbo, brazila nuksarbo","Altakreska arbo vivanta en tropikaj arbaroj de Sudameriko, produktanta brazilajn ojn (Bertholletia excelsa)."
vomnukso,"Diskforma kerno el la globforma bero de vomarbo entenanta strikninon: kinino ekstraktata de la vomo Viki Joseph Bienaimé Caventou ; ĝi havis dozon da vom-o sufiĉan por mortigi ĉevalon G. García Márquez, trad. F. de Diego, Cent Jaroj da Soleco, Fonto, 1992 ."
vomnuksarbo,Granda arbo el sudorientazio el familio loganiacoj (Strychnos nux-vomica).
Nukualofo,"La ĉefurbo de Tongo: la reĝa palaco kaj ĉiuj konstruaĵoj de la registaro troviĝas en o Viki Nukualofo ; la vulkano je 65 kilometroj for de o, la ĉefurbo de Tongo, havas du kraterojn, el kiuj unu estas sur senhoma insulo kaj la alia sub la marakvo kun la profundeco je 100 metroj Xie Ruifeng Nova insuleto aperis en Tongo ."
8nul,"La numeralo esprimanta la kvanton neniom, la plej malgrandan nenegativan nombron: akceli en 9 sekundoj de al 100 km/h Monato Virbovo-tirpovo ; [dungi farmiston] estus por ni plus minus , do pura malgajno HsT Sia propra mastro ; mi mem fine gajnis poentojn, tamen certe ĝuis la kvizon Kon11 ; kie antaŭe staris pordo, […] oscedas nun la enira aperturo de dek-tria ĉambro MMa Ĉapitro 3 ."
nulo,"La cifero 0, uzata por prezenti la nombron , aŭ por obligi la valoron de ciferoj, ĉe kies dekstro ĝi estas lokita: en la nombroprezento 001,2050 la komencaj kaj la vostaj oj estas sensignifaj kaj oni povas ilin forigi, lasante nur la signifajn ciferojn 1,205."
nula,"Kies numero estas 0: a horo Monato El Mia Vidpunkto 95/03 ; la a, la tria kaj la kvina vertikaloj de la vektoro estas lineare sendependaj."
nuli,"Esti a, esti o: japanlingva legkapablo de misiistoj preskaŭ as Monato Kimura Goro Christoph Utimura Kanzo antaŭ 150 jaroj naskiĝis 2011 ."
nuligi,"Senvalorigi, senefikigi, oficiale deklari senvalora, igi a: igi juĝon, baloton, antaŭan regularon; igi sian lukontrakton HsT Kuniĝo ; igi ĉiujn ŝuldojn Far2 Ĉapitro III ; ĉar li nun igis sian kalkulon per la morto, ni ne ricevos eĉ unu speson Fab1 Vojkamarado ; konfirmitan interligon […] neniu igas nek prialdonas NT Galatoj 3:15 ; oni devas plej rapide igi la fremdajn regimentojn Far2 Ĉapitro II !"
nuliganto,"(de funkcio) Ĉiu elemento, kies bildo per la funkcio estas 0: π estas iganto de funkcio sinuso; la polinoma funkcio x2-1 akceptas 1 kaj -1 kiel igantojn."
nuliĝi,"Iĝi a, igita, senvalora; iĝi o: la titolo […] iĝos MrA Ĉapitro XVI ; la influo de Tigellinus tute iĝis QuV Ĉapitro XL ; li pereis kaj ĉiuj, kiuj lin obeis, dispeliĝis kaj iĝis NT La agoj 5:36 ; la fido iĝis, kaj la promeso vantiĝis NT Romanoj 4:14 ."
ekde nulo,"Surprenante tutan taskon, sen helpa bazo, sen antaŭa ekzistaĵo: komenci ekde o, miaaĝe J. Melnik, trad. O. Kerziouk A.A.A. Beletra Almanako, 2013-10 (18) ?"
numenio,"Mezgranda birdo kun longaj kruroj, bruna korpo kaj longa malsupren kurbigita beko, vivanta en mezvarmaj aŭ malvarmaj landoj en prefere malsekaj senarbejoj; genro el familio skolopedoj (Numenius): oni aŭdis la fajfadon de oj sur la senarba montoflanko R. L. Stevenson, trad. A. Goodheir, Forkaptita, Kardo, 1976; la malgrandaj oj vivas en marbordoj, stepoj proksimaj al maro, marĉejoj, lagetoj kaj deltoj Ĉina Radio Internacia, Malgranda numenio, 2005-09 ."
numero,"Nombro montranta la vicon de iu objekto inter aliaj: o de paĝo, telefono, bileto; orda o Homaranismo El la mondo homarana (hilelista). ; alfabeta registro de temoj, kun montro de la oj, sub kiuj oni povas trovi ĉiun apartan temon PrV ; Sankt-Peterburgo, strato Poŝtoficeja, domo o naŭdek-sep Revizoro Akto kvina ; [en la] loterio de la vivo […] estis neniu gajna o Rabistoj Akto Tria ."
numeri,"Signi ion per o: i paĝojn de libro, librojn de biblioteko; la svatiĝantoj, laŭ la ordo de sia alveno, estis ataj kaj starigataj en vicoj Fab3 Johanĉjo-malsaĝulo ; Becher proponis i la vortojn de tuta vortaro kaj tiujn ĉi nombrojn uzi kiel komunan lingvon de skribado FK Fundamenta Krestomatio de la lingvo Esperanto ; por ilin poluri, mi prenos ilin en mian antaŭtukon, sed antaŭe oni devas ilin i Fab2 Dio de dormo ; la laŭenhave dividitaj grupoj da proverboj estos itaj PrV ."
numerebla,"Tia, ke eblas ĝin i."
provnumero,"Provekzemplero de gazeto: bonvolu kontaktiĝi kun la komunikadcentro de EEU por legi la provon http://www.chinareport.com.cn/04e/2003-4.htm. la provo de Lingvo Internacia, decembro 1895 VojaĝImp Enkonduko ."
signonumero,"En komputoscienco, nombro per kiu oni kodas signon en kodo: oni akceptas la literojn ĉ, ĝ, ĥ, ĵ, ŝ, ŭ kiel simplajn signojn integrajn, kun la signooj Ĉ=264, Ĝ=284, Ĥ=292, … S. Pokrovskij: Grafemo. Lingva kritiko, 2018.."
numeralo,"Vorto aŭ grupo da vortoj indikanta nombron aŭ numeron, nombronomo: unu, du, cent estas bazaj oj; ""mil sepcent tridek dua"" estas orda o."
numeratoro,"La dividato en kvocienta frakcio aŭ en algebra frakcio: en la nombro 4/16, 4 estas la o kaj 16 estas la denominatoro."
numerologio,"Sortodiveno per nombroj, kiu atribuas simbolajn valorojn al nombroj, eventuale nombrajn valorojn al literoj: laŭ la o 7 estas la kompleto de ciklo (7 spektraj koloroj, 7 tonoj, semajno ktp.) K. Ruig, Ekzerco por Qi-Terapio, [vidita je 2006-09-18] ; la o de la Kabalo J.-M. Lévy-Leblond, trad. J.-M. Cash, Ĉu scienco estas universala?, le Monde diplomatique, 2006-09 ."
numido,"Kortobirdo kun griza nigre punktita plumaro kaj delikata viando; genro el la ordo de kokoformaj: sur herbo promenis […] ŝprucmakulaj mukokulaj oj B. Němcová, trad. V. Tobek kaj K. Procházka, Avineto, [sen dato] ; akacioj kaj jujubarboj […] donas ombron al birdokorto, kie vivas dudeko da oj MD08 Novaj spertoj pri agro-forstado - Kiel Sahelo reverdiĝas ."
numido,"Ano de antikva popolo loĝanta okcidente de Kartago. Ĝiaj bonaj rajdistoj subtenis Hanibalon en la Dua Punika Milito: aperis taĉmento da aj rajdistoj, […] vestitaj per flavaj vestoj, ruĝaj zonoj kaj grandegaj orelringoj, ĵetantaj orajn brilojn sur iliajn nigrajn vizaĝojn QuV ; la oj estis forpelitaj de la teritorioj borde de la Mediteranea Maro, pli suden [ĝis] la 3-a jarcento a. K. Viki Numidio ."
numismatiko,"Scienco pri monoj, moneroj kaj medaloj: aliaj modernaj monformoj pristudataj de la o estus la ĉeko, la monpapero aŭ monbileto, la akcio kaj la obligacio, la kreditkarto kaj la ĵetono Viki Numismatiko ; István Kovács […] studis on ankaŭ en Strassburg kaj Berlin, li doktoriĝis en 1910 Viki István Kovács (arkeologo) ."
numismato,"Numismatikisto: la ora monero de 25 steloj estas tre valora kolektindaĵo, ne nur inter esperantistoj, sed ankaŭ inter oj - Monato aŭkcias 25 orajn stelojn! Monato 2017-06 ."
Nunavuto,"Teritorio en la nordo de Kanado kun apartaj rajtoj por la inuitoj tie loĝantaj: Hudsona Golfo […] apartenas al o, dum la marbordo apartenas parte al Kebekio, Ontario kaj Manitobo Viki Hudsona Golfo ; la inuitaj lingvoj estas parolataj en Gronlando, Kanado (o, Nordokcidentaj Teritorioj, Nunaviko, Nunatsiavuto kaj Jukonio) kaj Alasko Viki Inuita lingvaro ; [en] la oficiala retejo de la registaro de la Teritorio de o en Kanado […] la servoj por la loĝantaroj estas havebla[j] en la angla, franca, Inuktituta kaj Inuinaktuna Languages!: La Indiĝenaj lingvoj en la Interreto ."
nuncio,"Papa ambasadoro: la someron kaj aŭtunon li loĝas en Kordovo, faras konatecojn kaj trovas eĉ amikojn por sia afero: la edukanton de la reĝaj infanoj, lian fraton, la on de la papo kaj la regnan financestron de Kastilujo FK ; la o en Domingo, Johano Perrofino, kiu naŭdek-kvin-jara ankoraŭ vivas en Francio, ricevis ĉiun sesan monaton ĉifritan telegramon rekte de la papo, por ke li petu kaj akiru de la registaro de tiu lando 800 vizojn por judoj, kiuj intertempe el la naziaj zonoj forfuĝis al Portugalio, Hispanio kaj alilanden Monato Armando Zecchin Oni rehabilitu papon Pion la dek-duan! ; unika kazo koncernas Tajvanon, kie la Sankta Seĝo ekde 1979 reprezentiĝas ne de o, sed nur de simpla aferŝarĝito ad interim” (portempa) Monato Armando Zecchin Vatikano diplomatie rilatas kun 177 landoj ."
nuo,"La dektria litero de la greka alfabeto (, ): ankaŭ eblas ilin [la Grekajn literojn] plene Esperantigi kun O-finaĵoj, ekz.: [...] muo, o, ksio, [...] B. Wennergren, Grekaj literoj en PMEG ¶19 ."
nupto,"Geedziĝofesto: lia patro jam faris planon pri gefianĉigo kaj lia onklo projekton pri o RugxDom, ĉapitro 64a, volumo 2a, p. 399a; mi jam kuncelebris ankaŭ la eŭĥaristion okaze de intereklezia o Gerrit Berveling Tro senkosta pentemo Monato 2000/08, p. 22 ; malfermi la oficialan on ankaŭ por samseksaj paroj Gerrit Berveling Edziĝoj ankaŭ por samseksaj paroj Monato 2000/12, p. 14 ; la sonoriloj vokis homojn al diservoj, oj, enterigoj Saliko Kolekti sonorilojn Monato 2001/02, p. 24 ; ŝi preskaŭ forgesis, ke ŝi propre ja atendis la kulminon de ŝia onokto Monato Franz-Georg Rössler La unua nokto 2004 ."
nur,Adverbo signifanta:
